hour,buy_count,sell_count,buy_avg_price,sell_avg_price,buy_total_volume,sell_total_volume,buy_vwap,sell_vwap,market_spread
0,43,41,65.76,63.81,42197.81532147743,46859.81532147743,65.76,63.81,1.95
1,43,43,206.01,66.96,75191.81532147742,84194.81532147742,206.01,66.96,139.05
2,49,39,253.07,135.9,54547.0,91230.0,253.07,135.9,117.17
3,44,43,64.31,97.67,59693.63064295486,50182.81532147743,64.31,97.67,-33.36
4,38,42,61.62,163.78,135867.81532147742,53959.81532147743,61.62,163.78,-102.16
5,32,41,61.29,54.28,31511.81532147743,75656.81532147742,61.29,54.28,7.01
6,35,30,56.29,55.48,90761.0,33908.0,56.29,55.48,0.81
7,38,32,106.06,61.37,32837.81532147743,30401.81532147743,106.06,61.37,44.7
8,47,50,61.72,57.71,50215.0,141448.0,61.72,57.71,4.01
9,48,42,141.98,86.74,47779.0,88257.0,141.98,86.74,55.23
10,38,39,166.75,61.21,40637.0,33372.0,166.75,61.21,105.55
11,37,27,62.85,62.33,41120.81532147743,23405.0,62.85,62.33,0.52
12,31,43,57.63,58.3,36983.0,128476.81532147742,57.63,58.3,-0.67
13,47,43,62.17,64.99,94450.0,48978.0,62.17,64.99,-2.82
14,24,43,112.0,247.82,19715.0,71027.0,112.0,247.82,-135.82
15,44,51,60.75,56.76,48990.0,58373.0,60.75,56.76,3.99
16,36,38,164.79,58.72,37762.0,37690.0,164.79,58.72,106.07
17,38,31,61.07,64.18,31348.0,31006.81532147743,61.07,64.18,-3.1
18,45,43,135.76,147.77,42851.0,49904.81532147743,135.76,147.77,-12.01
19,48,34,61.51,66.96,83834.81532147742,33994.0,61.51,66.96,-5.45
20,35,45,61.04,59.13,48221.81532147743,84292.81532147742,61.04,59.13,1.91
21,47,43,161.23,62.46,54521.81532147743,48978.63064295486,161.23,62.46,98.77
22,37,44,140.51,66.94,37782.81532147743,49627.81532147743,140.51,66.94,73.57
23,29,35,65.39,60.74,31935.81532147743,37231.81532147743,65.39,60.74,4.65
